SECCIO_CENSAL,HOMES,DONES,EDAT_0_A_14,EDAT_15_A_24,EDAT_25_A_64,EDAT_65_A_MES,NACIONALS,COMUNITARIS,ESTRANGERS
07077,660,707,162,155,780,270,1105,27,235
07078,695,726,196,101,815,309,1170,70,181
07079,701,775,181,135,766,394,1174,46,256
07080,853,961,299,160,1037,318,1508,56,250
07081,957,1024,206,198,1122,455,1692,52,237
07082,620,680,148,155,733,264,1077,64,159
07083,645,709,157,126,747,324,1100,42,212
07084,660,677,153,134,774,276,1037,70,230
07085,624,657,155,139,741,246,1080,48,153
07086,696,768,172,132,855,305,1175,55,234
07087,752,861,199,132,909,373,1348,48,217
07088,800,858,225,198,965,270,1309,63,286
07089,605,742,145,130,686,386,1164,52,131
07090,701,752,201,133,796,323,1274,50,129
07091,576,663,134,146,668,291,1024,46,169
07092,703,873,168,151,841,416,1110,39,427
07093,886,901,234,237,902,414,1412,46,329
07094,565,700,133,105,688,339,1068,28,169
07095,720,814,180,160,856,338,1295,48,191
07096,633,797,162,153,798,317,1187,68,175
07097,392,534,93,56,387,390,819,32,75
07098,1020,1187,344,228,1154,481,2024,77,106
07099,491,535,71,103,638,214,971,12,43
07100,571,669,133,87,593,427,1070,38,132
07101,676,778,140,105,696,513,1232,40,182
07102,359,343,121,63,432,86,594,29,79
07103,761,839,188,271,846,295,1158,74,368
07104,737,838,211,132,836,396,1356,48,171
07105,499,562,128,87,560,286,977,22,62
07106,550,639,149,97,608,335,1100,9,80
07107,579,633,149,110,624,329,1130,26,56
07108,583,647,126,115,663,326,1130,29,71
07109,797,878,200,132,882,461,1444,52,179
07110,457,610,115,90,475,387,969,17,81
07111,394,514,97,70,406,335,853,21,34
07112,628,683,160,114,743,294,1160,38,113
07113,581,647,165,137,721,205,1061,18,149
07114,565,649,146,113,677,278,1117,29,68
07115,485,568,107,107,564,275,986,31,36
07116,696,824,227,122,836,335,1360,44,116
07117,1467,1370,393,313,1825,306,1265,119,1453
07118,575,695,178,118,658,316,1124,25,121
07119,587,682,164,118,734,253,1057,42,170
07120,568,697,127,96,675,367,1067,22,176
07121,528,660,124,117,614,333,958,29,201
07122,597,741,166,104,692,376,1183,22,133
07123,676,753,166,159,753,351,1261,23,145
08001,583,664,130,105,664,348,1118,13,116
08002,581,686,151,126,650,340,1163,28,76
08003,579,638,124,103,657,333,1044,31,142
08004,646,795,170,130,774,367,1130,29,282
08005,535,618,104,119,605,325,999,27,127
08006,761,847,206,171,878,353,1332,59,217
08007,536,671,127,99,607,374,1072,27,108
08008,763,896,185,148,905,421,1379,60,220
08009,831,929,208,170,1036,346,1420,68,272
08010,502,612,113,110,624,267,976,14,124
08011,548,640,148,128,635,277,1042,30,116
08012,580,751,142,132,751,306,1139,38,154
08013,532,648,140,104,608,328,1016,25,139
08014,596,703,151,153,727,268,1057,39,203
08015,634,822,173,138,823,322,1129,40,287
08016,522,631,152,93,570,338,970,26,157
08017,656,722,165,109,713,391,1174,33,171
08018,726,824,159,139,857,395,1317,28,205
08019,814,972,213,145,1028,400,1383,55,348
08020,656,758,162,125,803,324,1130,25,259
08021,684,803,173,129,817,368,1236,36,215
08022,587,682,121,105,733,310,1061,27,181
08023,656,735,193,131,784,283,1111,46,234
08024,617,741,145,122,736,355,1134,26,198
08025,536,677,141,114,658,300,973,45,195
08026,658,770,209,121,743,355,1184,41,203
08027,689,714,203,94,750,356,1264,34,105
08028,499,612,108,91,580,332,957,23,131
08029,720,837,211,166,860,320,1368,26,163
08030,705,794,212,147,816,324,1196,43,260
08031,613,693,162,112,621,411,1138,18,150
08032,603,711,151,114,699,350,1123,31,160
08033,686,775,184,128,820,329,1157,37,267
08034,554,749,162,120,669,352,958,21,324
08035,2262,2115,442,508,2932,495,1695,111,2571
08036,726,848,185,149,892,348,1207,28,339
08037,705,883,187,133,859,409,1280,26,282
08038,730,857,216,171,897,303,1204,22,361
08039,736,819,206,128,847,374,1193,28,334
08040,924,1014,306,176,1139,317,1540,29,369
08041,1225,1316,456,307,1458,320,1611,45,885
08042,567,712,131,104,604,440,1112,10,157
08043,498,654,123,125,590,314,1035,12,105
08044,630,709,175,123,774,267,1018,35,286
08045,867,913,247,173,1064,296,1242,59,479
08046,639,793,169,128,827,308,1107,36,289
08047,760,888,234,175,915,324,1125,38,485
